waste_description,industry_name,industry_description
"Hardwood flooring waste",Furniture Manufacturing,"Repurposes salvaged wood into new furniture and home goods with rustic appeal"
"Furniture grade wood scraps",Furniture Manufacturing,"Repurposes salvaged wood into new furniture and home goods with rustic appeal"
"Softwood pulp waste",Paper Mill,"Processes wood chips and pulp into paper and cardboard products"
"Wood fiber and cellulose waste",Paper Mill,"Processes wood chips and pulp into paper and cardboard products"
"Clothing factory textile scraps",Insulation Manufacturing,"Shreds textile waste into thermal and acoustic insulation materials for buildings"
"Cotton and polyester fabric waste",Insulation Manufacturing,"Shreds textile waste into thermal and acoustic insulation materials for buildings"
"Industrial textile trimmings",Insulation Manufacturing,"Shreds textile waste into thermal and acoustic insulation materials for buildings"
"Used clothing and garments",Second-hand Retail,"Sorts and resells usable textiles to reduce fashion waste and extend product lifecycle"
"Vintage and designer textile waste",Second-hand Retail,"Sorts and resells usable textiles to reduce fashion waste and extend product lifecycle"
"Fabric offcuts and remnants",Cleaning Supply Industry,"Converts textile scraps into industrial cleaning rags and wipes"
"Towel and linen waste",Cleaning Supply Industry,"Converts textile scraps into industrial cleaning rags and wipes"
"Vegetable and fruit peels",Biogas Plant,"Converts organic waste into methane-based renewable energy via anaerobic digestion"
"Food processing organic waste",Biogas Plant,"Converts organic waste into methane-based renewable energy via anaerobic digestion"
"Restaurant kitchen food waste",Biogas Plant,"Converts organic waste into methane-based renewable energy via anaerobic digestion"
"Dairy and bakery waste",Biogas Plant,"Converts organic waste into methane-based renewable energy via anaerobic digestion"
"Garden and yard organic waste",Composting Facility,"Transforms food and garden waste into nutrient-rich compost for agriculture"
"Crop residues and husks",Composting Facility,"Transforms food and garden waste into nutrient-rich compost for agriculture"
"Leaf litter and plant trimmings",Composting Facility,"Transforms food and garden waste into nutrient-rich compost for agriculture"
"Brewery grain spent waste",Animal Feed Production,"Processes suitable food waste into animal feed supplements and nutrition products"
"Fruit pulp and juice residue",Animal Feed Production,"Processes suitable food waste into animal feed supplements and nutrition products"
"Broken glass bottles and jars",Glass Manufacturing,"Melts cullet (crushed glass) into new glass containers and products"
"Window glass and flat glass waste",Glass Manufacturing,"Melts cullet (crushed glass) into new glass containers and products"
"Laboratory glassware waste",Glass Manufacturing,"Melts cullet (crushed glass) into new glass containers and products"
"Crushed glass aggregate",Construction Industry,"Uses crushed glass as aggregate in concrete and road base applications"
"Glass fiber waste",Fiberglass Production,"Converts recycled glass into fiberglass insulation and composite materials"
"Newspaper and magazine waste",Paper Mill,"Repulps waste paper into new paper and cardboard products"
"Cardboard boxes and packaging",Paper Mill,"Repulps waste paper into new paper and cardboard products"
"Office paper and documents",Paper Mill,"Repulps waste paper into new paper and cardboard products"
"Corrugated cardboard waste",Packaging Industry,"Creates eco-friendly packaging from recycled paper fibers"
"Paper bags and wrapping",Packaging Industry,"Creates eco-friendly packaging from recycled paper fibers"
"Shredded paper waste",Insulation Manufacturing,"Processes shredded paper into cellulose insulation for buildings"
"Old computers and laptops",E-waste Recycling,"Safely dismantles electronics to recover reusable components and valuable materials"
"Smartphones and tablets",E-waste Recycling,"Safely dismantles electronics to recover reusable components and valuable materials"
"Printers and peripherals",E-waste Recycling,"Safely dismantles electronics to recover reusable components and valuable materials"
"Server and networking equipment",E-waste Recycling,"Safely dismantles electronics to recover reusable components and valuable materials"
"Circuit boards and connectors",Precious Metal Recovery,"Extracts gold silver and platinum from circuit boards and electronic connectors"
"CPU and memory chip waste",Precious Metal Recovery,"Extracts gold silver and platinum from circuit boards and electronic connectors"
"Working used electronics",Refurbished Electronics,"Repairs and resells functional electronics extending product lifespans"
"Slightly damaged devices",Refurbished Electronics,"Repairs and resells functional electronics extending product lifespans"
"Waste tires and tubes",Tire Recycling Plant,"Shreds tires into crumb rubber for playgrounds sport surfaces and other applications"
"Industrial rubber scrap",Tire Recycling Plant,"Shreds tires into crumb rubber for playgrounds sport surfaces and other applications"
"Rubber conveyor belt waste",Tire Recycling Plant,"Shreds tires into crumb rubber for playgrounds sport surfaces and other applications"
"Crumb rubber material",Asphalt Production,"Mixes crumb rubber into asphalt for durable noise-reducing and longer-lasting roads"
"Shredded tire rubber",Asphalt Production,"Mixes crumb rubber into asphalt for durable noise-reducing and longer-lasting roads"
"Bulk rubber waste",Pyrolysis Plant,"Converts rubber waste into fuel oil carbon black and steel through thermal decomposition"
"End-of-life tires",Pyrolysis Plant,"Converts rubber waste into fuel oil carbon black and steel through thermal decomposition"
"Used industrial solvents",Chemical Recycling Plant,"Purifies and reprocesses chemical waste into usable industrial chemicals"
"Paint and coating waste",Chemical Recycling Plant,"Purifies and reprocesses chemical waste into usable industrial chemicals"
"Acid and alkali waste",Chemical Recycling Plant,"Purifies and reprocesses chemical waste into usable industrial chemicals"
"Contaminated solvent waste",Solvent Recovery Facility,"Distills and reclaims used solvents for reuse in manufacturing processes"
"Used cleaning chemicals",Solvent Recovery Facility,"Distills and reclaims used solvents for reuse in manufacturing processes"
"Hazardous chemical waste",Waste Treatment Facility,"Safely neutralizes and processes hazardous chemical waste for safe disposal"
"Industrial effluent chemicals",Waste Treatment Facility,"Safely neutralizes and processes hazardous chemical waste for safe disposal"
"Concrete and brick rubble",Construction Recycling,"Crushes and processes demolished building materials into aggregate for new construction"
"Asphalt and road surface waste",Construction Recycling,"Crushes and processes demolished building materials into aggregate for new construction"
"Demolition debris mix",Construction Recycling,"Crushes and processes demolished building materials into aggregate for new construction"
"Ceramic tiles and porcelain waste",Construction Recycling,"Crushes and processes demolished building materials into aggregate for new construction"
"Leather cutting scraps",Leather Goods Manufacturing,"Transforms leather scraps into smaller goods like wallets belts and accessories"
"Tannery leather waste",Leather Goods Manufacturing,"Transforms leather scraps into smaller goods like wallets belts and accessories"
"Used cooking oil and grease",Biodiesel Production,"Converts waste cooking oil into biodiesel fuel through transesterification process"
"Restaurant fryer oil waste",Biodiesel Production,"Converts waste cooking oil into biodiesel fuel through transesterification process"
"Agricultural straw and stalks",Biofuel Production,"Processes agricultural residues into cellulosic ethanol and biofuel products"
"Sugarcane bagasse waste",Biofuel Production,"Processes agricultural residues into cellulosic ethanol and biofuel products"
"Coal ash and fly ash",Cement Manufacturing,"Uses industrial fly ash as a partial replacement for cement in concrete production"
"Slag from steel production",Cement Manufacturing,"Uses industrial fly ash as a partial replacement for cement in concrete production"
"Pharmaceutical waste and expired drugs",Pharmaceutical Waste Processing,"Safely processes and destroys expired or contaminated pharmaceutical products"
"Hospital medical waste",Medical Waste Processing,"Sterilizes and safely disposes of medical waste through autoclaving or incineration"
"Plastic scrap from automotive",Automotive Parts Recycling,"Recycles automotive plastic components into new parts and accessories"
"End-of-life vehicle parts",Automotive Parts Recycling,"Recycles automotive plastic components into new parts and accessories"
"Used engine oil and lubricants",Oil Re-refining Plant,"Re-refines used petroleum products into base oils for new lubricant production"
"Hydraulic fluid waste",Oil Re-refining Plant,"Re-refines used petroleum products into base oils for new lubricant production"
"Nylon and rope waste",Nylon Recycling,"Depolymerizes nylon waste back into raw materials for new nylon production"
"Fishing net waste",Nylon Recycling,"Depolymerizes nylon waste back into raw materials for new nylon production"
"Battery waste and cells",Battery Recycling,"Recovers lithium cobalt nickel and other metals from spent batteries"
"Lithium-ion battery scrap",Battery Recycling,"Recovers lithium cobalt nickel and other metals from spent batteries"
"Solar panel waste",Solar Panel Recycling,"Recovers silicon glass and metals from decommissioned solar panels"
"Photovoltaic cell waste",Solar Panel Recycling,"Recovers silicon glass and metals from decommissioned solar panels"
"Mixed municipal solid waste",Waste-to-Energy Plant,"Converts non-recyclable mixed waste into electricity and heat through combustion"
"Non-recyclable waste streams",Waste-to-Energy Plant,"Converts non-recyclable mixed waste into electricity and heat through combustion"
"Polystyrene foam and packaging",Polystyrene Recycling,"Densifies and recycles expanded polystyrene into raw material for new products"
"Styrofoam packaging waste",Polystyrene Recycling,"Densifies and recycles expanded polystyrene into raw material for new products"
"Textile dyeing wastewater sludge",Water Treatment Plant,"Treats and recovers chemicals from industrial wastewater for safe discharge or reuse"
"Industrial cooling water waste",Water Treatment Plant,"Treats and recovers chemicals from industrial wastewater for safe discharge or reuse"
